Cust_No,Target,Nation,Birth_Place,Gender,Age,Marriage_State,Highest Education,House_State,Work_Years,Title,Duty,Industry,Year_Income,Couple_Year_Income,L12_Month_Pay_Amount,Couple_L12_Month_Pay_Amount,Ast_Curr_Bal,Std_Cred_Limit,Loan_Curr_Bal,ZX_Max_Account_Number,ZX_Max_Link_Banks,ZX_Max_Overdue_Account,ZX_Link_Max_Overdue_Amount,ZX_Total_Overdu_Months,ZX_Max_Overdue_Duration,ZX_Max_Credits,ZX_Max_Credit_Banks,ZX_Max_Overdue_Credits,ZX_Credit_Max_Overdu_Amount,ZX_Credit_Total_Overdue_Months,ZX_Credit_Max_Overdue_Duration
181,0,1,330621,1,46,20,61,1,0,0,0,50,100000,100000,0,0,984.41,20000,0,7,4,0,0,0,0,1,1,0,0,0,0
182,0,1,330621,0,36,20,90,,68623,9,0,,50000,100000,0,0,0,20000,0,0,0,0,0,0,0,0,0,0,0,0,0
183,0,,330621,0,22,,,,0,,9,,10000,100000,26081.7,0,830.12,4000,0,0,0,0,0,0,0,0,0,0,0,0,0
184,0,1,330621,0,26,99,90,1,0,,,,4.5,100000,42056.7,0,10004.57,5000,0,0,0,0,0,0,0,0,0,0,0,0,0
185,0,,330621,1,26,,,,0,,0,,100000,100000,0,0,0.49,20000,0,1,1,0,0,0,0,0,0,0,0,0,0
186,0,,330621,1,45,,,,0,,2,,200000,100000,0,0,0,40000,0,0,0,0,0,0,0,0,0,0,0,0,0
187,0,,330621,1,39,,2,,0,,1,,200000,100000,0,0,0.01,10000,0,0,0,0,0,0,0,0,0,0,0,0,0
188,0,,330621,1,32,2,2,,0,,0,,150000,100000,0,0,0.1,10000,0,0,0,0,0,0,0,0,0,0,0,0,0
189,0,,330682,0,29,,,,0,,,,0,100000,0,0,1.52,10000,0,0,0,0,0,0,0,0,0,0,0,0,0
190,0,,330121,1,46,,,,0,,1,,200000,100000,0,0,26.64,20000,0,3,3,1,67,1,1,2,1,0,0,0,0
191,0,1,420984,0,30,99,90,8,0,9,0,,30000,100000,0,0,69.08,5000,0,6,6,1,1,2,1,1,1,0,0,0,0
192,0,1,330621,0,39,99,90,1,0,,0,,80000,100000,0,0,0,20000,0,0,0,0,0,0,0,0,0,0,0,0,0
193,0,,330602,1,43,,,,0,,2,,100000,100000,25214.05,0,2267.28,30000,0,0,0,0,0,0,0,0,0,0,0,0,0
194,0,,330127,0,36,,,,0,,,,0,100000,0,0,1.4,10000,0,0,0,0,0,0,0,0,0,0,0,0,0
195,0,,330621,0,30,,,,0,,,,0,100000,0,0,110.79,10000,0,2,2,1,80,1,1,0,0,0,0,0,0
196,0,1,330602,0,43,20,61,,68625,9,0,,100000,100000,0,0,0,10000,0,11,7,4,1263,9,1,1,1,1,2425,5,1
197,0,1,330621,1,36,20,71,,0,,9,,80000,100000,0,0,23.74,8000,0,0,0,0,0,0,0,0,0,0,0,0,0
198,0,90,330621,1,28,99,9,,0,,9,,150000,100000,0,0,595.25,20000,0,11,9,2,0,5,2,0,0,0,0,0,0
199,0,,330621,1,57,,,,0,,,,0,100000,0,0,15304.39,20000,0,0,0,0,0,0,0,0,0,0,0,0,0
200,0,,330621,1,43,,,,0,,0,,60000,100000,0,0,43.8,5000,0,1,1,1,0,1,1,0,0,0,0,0,0
201,0,,330621,1,34,2,6,,0,,0,,100000,100000,0,0,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,0
202,0,1,330621,1,54,20,81,1,0,9,1,18,50000,100000,0,0,15.25,10000,69694.28,4,2,0,0,0,0,1,1,0,0,0,0
203,0,1,420984,1,24,10,21,1,0,,1,17,300000,100000,0,0,1.87,10000,0,4,4,0,0,0,0,2,1,0,0,0,0
